ID,Context,MIS,Length,Width,Area
WH (1),Warren Hill,MIS 13,79.04,50.04,2878.9546
WH (2),Warren Hill,MIS 13,95.69,54.65,3780.2613
WH (3),Warren Hill,MIS 13,73.01,51.09,2650.173
WH (4),Warren Hill,MIS 13,82.32,60.92,3627.762
WH (5),Warren Hill,MIS 13,98.47,74.93,5295.9593
WH (6),Warren Hill,MIS 13,140.11,110.88,10768.3649
WH (7),Warren Hill,MIS 13,95.94,75.79,5182.7124
WH (8),Warren Hill,MIS 13,147.6,74.52,8090.6831
WH (9),Warren Hill,MIS 13,129.35,84.69,7996.583
WH (10),Warren Hill,MIS 13,123.86,94.96,7661.4451
WH (11),Warren Hill,MIS 13,95.14,66.36,5095.5589
WH (12),Warren Hill,MIS 13,74.92,65.83,3550.1115
WH (13),Warren Hill,MIS 13,79.39,61.79,3731.6317
WH (14),Warren Hill,MIS 13,91.13,70.42,4679.4271
WH (15),Warren Hill,MIS 13,82.16,60.1,3502.9196
WH (16),Warren Hill,MIS 13,60.24,59.58,2549.4024
WH (17),Warren Hill,MIS 13,69.36,50.68,2595.4869
WH (18),Warren Hill,MIS 13,74.25,48.15,2541.4455
WH (19),Warren Hill,MIS 13,97.49,68.11,4825.2107
WH (20),Warren Hill,MIS 13,87.44,60.41,3610.9649
WH (21),Warren Hill,MIS 13,93.1,63.64,3739.7909
WH (22),Warren Hill,MIS 13,142.83,90.16,9411.1745
WH (23),Warren Hill,MIS 13,118.39,87.42,7645.4702
WH (24),Warren Hill,MIS 13,113.55,87.85,7094.4862
WH (25),Warren Hill,MIS 13,118.19,67.69,6136.3646
WH (26),Warren Hill,MIS 13,120.14,92.69,8276.7774
WH (27),Warren Hill,MIS 13,124.71,86.37,7603.9991
WH (28),Warren Hill,MIS 13,84.67,53.29,3649.5302
WH (29),Warren Hill,MIS 13,93.94,53.03,3600.5163
WH (30),Warren Hill,MIS 13,99.24,63.17,4770.0405
WH (31),Warren Hill,MIS 13,97.48,70.37,5699.419
WH (32),Warren Hill,MIS 13,61.79,52.7,2448.7889
WH (33),Warren Hill,MIS 13,99.5,77.41,5424.4469
WH (34),Warren Hill,MIS 13,84.69,59.83,3949.8621
WH (35),Warren Hill,MIS 13,95.2,74.14,5117.0607
WH (36),Warren Hill,MIS 13,106.91,62.8,4990.2428
WH (37),Warren Hill,MIS 13,56.23,55.56,2383.5403
WH (38),Warren Hill,MIS 13,76.28,54.19,3094.4959
WH (39),Warren Hill,MIS 13,67.68,48.15,2587.7377
WH (40),Warren Hill,MIS 13,80.48,53.03,3329.7436
WH (41),Warren Hill,MIS 13,77.49,54.19,3007.4764
WH (42),Warren Hill,MIS 13,94.11,69.7,4891.9147
WH (43),Warren Hill,MIS 13,140.17,98.47,10519.6775
WH (44),Warren Hill,MIS 13,89.57,61.79,4129.3534
WH (45),Warren Hill,MIS 13,85.6,70.59,4455.109
WH (46),Warren Hill,MIS 13,82.84,60.75,3838.2502
WH (47),Warren Hill,MIS 13,110.44,67.01,5741.2089
WH (48),Warren Hill,MIS 13,117.18,76.77,6843.4633
WH (49),Warren Hill,MIS 13,181.52,81.38,9323.0079
BO (1),Boxgrove,MIS 13,88.62944162,67.78510998,4296.591
BO (2),Boxgrove,MIS 13,81.57191201,61.87648054,3347.85
BO (3),Boxgrove,MIS 13,142.9551607,92.00084602,9914.7315
BO (4),Boxgrove,MIS 13,136.2436548,89.79695431,8897.684
BO (5),Boxgrove,MIS 13,151.7258883,94.54483926,10718.969
BO (6),Boxgrove,MIS 13,124.5854484,86.03130288,8110.5221
BO (7),Boxgrove,MIS 13,138.1928934,94.16497462,9809.705
BO (8),Boxgrove,MIS 13,118.7411168,68.34517766,5956.9546
BO (9),Boxgrove,MIS 13,136.2969543,91.84771574,9558.785
BO (10),Boxgrove,MIS 13,119.0296108,81.65397631,7540.6785
BO (11),Boxgrove,MIS 13,135.5956007,90.68358714,9082.5587
BO (12),Boxgrove,MIS 13,110.6209814,67.53130288,5533.6189
BO (13),Boxgrove,MIS 13,106.0913706,74.79441624,6128.3459
BO (14),Boxgrove,MIS 13,93.00676819,60.82571912,4063.2224
BO (15),Boxgrove,MIS 13,128.2335025,86.98477157,8016.4233
BO (16),Boxgrove,MIS 13,161.5761421,112.9137056,14171.9955
BO (17),Boxgrove,MIS 13,139.106599,87.32994924,9093.7995
BO (18),Boxgrove,MIS 13,122.5380711,81.2893401,7612.8305
BO (19),Boxgrove,MIS 13,141.5634518,88.05583756,9207.2242
BO (20),Boxgrove,MIS 13,139.4517766,82.49746193,8601.1722
BO (21),Boxgrove,MIS 13,154.9357022,88.74957699,9970.0786
BO (22),Boxgrove,MIS 13,126.1624365,86.29441624,8067.1328
BO (23),Boxgrove,MIS 13,102,67.30964467,5225.791
BO (24),Boxgrove,MIS 13,105.6243655,71.79695431,5268.9056
BO (25),Boxgrove,MIS 13,113.0456853,69.03553299,5561.3821
BO (26),Boxgrove,MIS 13,115.999154,82.32741117,7203.743
BO (27),Boxgrove,MIS 13,123.5736041,90.09137056,8502.0394
BO (28),Boxgrove,MIS 13,149.7791878,103.8553299,11552.4151
BO (29),Boxgrove,MIS 13,151.7123519,91.75803723,10640.9552
BO (30),Boxgrove,MIS 13,112.6336717,69.48984772,5702.6603
BO (31),Boxgrove,MIS 13,132.4373942,83.98900169,8192.9482
BO (32),Boxgrove,MIS 13,101.3096447,71.62436548,5429.3698
BO (33),Boxgrove,MIS 13,119.7766497,78.52791878,7151.3363
BO (34),Boxgrove,MIS 13,147.4619289,95.63959391,10385.5511
BO (35),Boxgrove,MIS 13,140.323181,102.5025381,10718.2249
BO (36),Boxgrove,MIS 13,144.6209814,98.41962775,10528.3077
BO (37),Boxgrove,MIS 13,109.248731,71.96954315,5231.6593
BO (38),Boxgrove,MIS 13,121.4746193,81.51353638,7586.8205
BO (39),Boxgrove,MIS 13,130.141286,82.15905245,8615.1862
BO (40),Boxgrove,MIS 13,98.89340102,78.01015228,5641.8009
BO (41),Boxgrove,MIS 13,133.2385787,80.25380711,8112.9685
BO (42),Boxgrove,MIS 13,105.5609137,71.08121827,5575.577
BO (43),Boxgrove,MIS 13,85.63028765,53.24027073,3335.8289
BO (44),Boxgrove,MIS 13,134.5211506,100.7834179,10359.5405
BO (45),Boxgrove,MIS 13,121.2978003,85.0499154,7828.8543
BO (46),Boxgrove,MIS 13,132.893401,89.2284264,8860.7819
BO (47),Boxgrove,MIS 13,97.95685279,64.64890017,4443.775
BO (48),Boxgrove,MIS 13,145.4805415,88.31979695,9706.1469
BO (49),Boxgrove,MIS 13,114.9441624,84.05076142,7255.9094
BO (50),Boxgrove,MIS 13,134.6192893,82.3248731,8760.5756
BL (1),Bowman's Lodge,MIS 11,81.97969543,49.11167513,3100.16
BL (2),Bowman's Lodge,MIS 11,48.12605753,40.12690355,1339.6084
BL (3),Bowman's Lodge,MIS 11,67.63959391,48.22335025,2268.984
BL (4),Bowman's Lodge,MIS 11,71.1928934,46.1928934,2363.4311
BL (5),Bowman's Lodge,MIS 11,64.46700508,43.78172589,1894.1887
